codigo;descripcion;color;empaque;imagen;linea
VALVULA;"\""XL XLR/ CG\"",\n \""descripcion\"": \""TAPA";;;;3911
VALVULA;"{\n \""codigo\"": \""C70/C90/ECO\"",\n \""descripcion\"": \""TAPA";;;;3911
VALVULA;"""```json\n{\n \""codigo\"": \""\"",\n \""descripcion\"": \""TAPA";;;;3915
ARENADO;"\""codigo\"": \""\"",\n \""descripcion\"": \""TAPA VALVULA";;;;3915
VALVULA;"""```json\n{\n \""codigo\"": \""03077\"",\n \""descripcion\"": \""TAPA";;;;3919
ROSCADAS;"{\n \""codigo\"": \""03837\"",\n \""descripcion\"": \""CHAPETAS";;;;3943
4MM;"\""03837\"",\n \""descripcion\"": \""CHAPETAS ROSCADAS MILIMETRICAS";;;;3943
4198;"\""descripcion\"": \""CHAPETAS ROSCADAS MILIMETRICAS 4MM";;;;3943
5MM;"\""CHAPETAS ROSCADAS MILIMETRICAS 4MM 04198";;;;3943
3837;ROSCADAS MILIMETRICAS 4MM 04198 5MM;;;;3943
6MM;MILIMETRICAS 4MM 04198 5MM 03837;;;;3943
GOLOSAS;"{\n \""codigo\"": \""03839\"",\n \""descripcion\"": \""CHAPETAS";;;;3943
CRYPTON;"\""04335\"",\n \""descripcion\"": \""PIÑÓN DISTRIBUCION T-110";;;;3959
BOXER;"\""codigo\"": \""04891\"",\n \""descripcion\"": \""PIÑÓN DISTRIBUCION";;;;3959
100;"\""04891\"",\n \""descripcion\"": \""PIÑÓN DISTRIBUCION BOXER";;;;3959
HONDA;"\""codigo\"": \""03589\"",\n \""descripcion\"": \""PIÑÓN CIGÜEÑAL";;;;3983
50M;"""raw"": ""```json\n{\n  \""codigo\"": \""";;;;3951
12176;;;;;3951
110;"00\"",\n  \""descripcion\"": \""PIÑÓN DISTRIBUCION T";;;;3951
CRYPTON;"\"",\n  \""precio\"": \""\"",\n  \""empaque\"": \""X1\"",\n  \""fotos\"": [\""imagen_recortada\""],\n  \""variantes\"": []\n}\n```""";;;;3951
JOY;"""raw"": ""```json\n{\n  \""codigo\"": \""AN-80";;;;3995
BOXER;"\"",\n  \""descripcion\"": \""PIÑÓN DISTRIBUCION";;;;3995
100;"\"",\n  \""precio\"": \""\"",\n  \""empaque\"": \""X1\"",\n  \""fotos\"": [\""imagen_recortada\""],\n  \""variantes\"": []\n}\n```""";;;;3995
CLUTCH;"{\n \""codigo\"": \""03084\"",\n \""descripcion\"": \""MICO";;;;4059
CABEZA;"\""codigo\"": \""03084\"",\n \""descripcion\"": \""MICO CLUTCH";;;;4059
ESTRIA;"\""MICO CLUTCH CABEZA HEXAGONAL Y";;;;4059
CLUTCH;"{\n \""codigo\"": \""03083\"",\n \""descripcion\"": \""MICO";;;;4059
CLTCH;"{\n \""codigo\"": \""03394\"",\n \""descripcion\"": \""MICO";;;;4059
BRONCE;"\""codigo\"": \""03394\"",\n \""descripcion\"": \""MICO CLTCH";;;;4059
TORNILLO;"\""codigo\"": \""03395\"",\n \""descripcion\"": \""MICO ACELERADOR";;;;4059
ESTRELLA;"\""03395\"",\n \""descripcion\"": \""MICO ACELERADOR TORNILLO";;;;4059
BRONCE;"\""descripcion\"": \""MICO ACELERADOR TORNILLO ESTRELLA";;;;4059
TORNILLO;"\""codigo\"": \""03082\"",\n \""descripcion\"": \""MICO ACELERADOR";;;;4059
BRONCE;"\""descripcion\"": \""MICO ACELERADOR TORNILLO PRISIONERO";;;;4059
CHOQUE;"\""03396\"",\n \""descripcion\"": \""MICO ACELERADOR Y";;;;4059
CON;"\""descripcion\"": \""MICO ACELERADOR Y CHOQUE";;;;4059
BRONCE;ACELERADOR Y CHOQUE CON PRISIONERO;;;;4059
3396;"""raw"": ""```json\n{\n  \""codigo\"": \""";;;;4031
MICO;"\"",\n  \""descripcion\"": \""";;;;4031
CHOQUE;ACELERADOR Y;;;;4031
CON;PRISONERO;;;;4031
BRONCE;"3mm\"",\n  \""precio\"": \""\"",\n  \""empaque\"": \""\"",\n  \""fotos\"": [\""image1.jpg\""],\n  \""variantes\"": []\n}\n```""";;;;4031
TORNILLO;"\""codigo\"": \""\"",\n \""descripcion\"": \""MICO ACELERADOR";;;;4039
TORNILLO;"\""codigo\"": \""4mm\"",\n \""descripcion\"": \""MICO ACELERADOR";;;;4051
ESTRELLA;"\""4mm\"",\n \""descripcion\"": \""MICO ACELERADOR TORNILLO";;;;4051
PARA;"{\n \""codigo\"": \""03398\"",\n \""descripcion\"": \""TORNILLO";;;;4079
ESTRIA;"{\n \""codigo\"": \""01717\"",\n \""descripcion\"": \""TORNILLO";;;;4079
EXAGONO;"\""codigo\"": \""01717\"",\n \""descripcion\"": \""TORNILLO ESTRIA";;;;4079
5X8;"\""01717\"",\n \""descripcion\"": \""TORNILLO ESTRIA EXAGONO";;;;4079
ESTRIA;"{\n \""codigo\"": \""01718\"",\n \""descripcion\"": \""TORNILLO";;;;4079
5X8;"\""codigo\"": \""01718\"",\n \""descripcion\"": \""TORNILLO ESTRIA";;;;4079
CALIDAD;"\""02023\"",\n \""descripcion\"": \""BUJE PORTACATALINA C-70/90";;;;4143
TOCO;"\""codigo\"": \""02022\"",\n \""descripcion\"": \""BUJE PORTACATALINA";;;;4143
CALIDAD;"\""descripcion\"": \""BUJE PORTACATALINA TOCO CD/ECO/AKT-110";;;;4143
LINEA;"\""05395\"",\n \""descripcion\"": \""BUJE PORTACATALINA CD/ECO/AKT-110";;;;4143
CALIDAD;"\""03684\"",\n \""descripcion\"": \""BUJE PORTACATALINA RX";;;;4143
BOXER;"\""codigo\"": \""03924\"",\n \""descripcion\"": \""BUJE PORTACATALINA";;;;4143
CALIDAD;"\""descripcion\"": \""BUJE PORTACATALINA BOXER CT-100";;;;4143
BOXER;"\""codigo\"": \""05396\"",\n \""descripcion\"": \""BUJE PORTACATALINA";;;;4143
LINEA;"\""descripcion\"": \""BUJE PORTACATALINA BOXER CT";;;;4143
BOXER;"\""codigo\"": \""04924\"",\n \""descripcion\"": \""BUJE PORTACATALINA";;;;4143
BM100;"\""04924\"",\n \""descripcion\"": \""BUJE PORTACATALINA BOXER";;;;4143
BUJE;"""raw"": ""```json\n{\n  \""codigo\"": \""";;;;4135
CALIDAD;"PORTACATALINA RX\"",\n  \""descripcion\"": \""";;;;4135
ORIGINAL;"\"",\n  \""precio\"": \""\"",\n  \""empaque\"": \""\"",\n  \""fotos\"": [\""imagen1\""],\n  \""variantes\"": []\n}\n```""";;;;4135
BOXER;"""raw"": ""```json\n{\n  \""codigo\"": \""";;;;10431
BUJE;"CT\"",\n  \""descripcion\"": \""";;;;4171
LINEA;"PORTACATALINA\"",\n  \""precio\"": \""\"",\n  \""empaque\"": \""";;;;4171
GENERICA;"\"",\n  \""fotos\"": [\""imagen_recortada\""],\n  \""variantes\"": []\n}\n```""";;;;4171
HONDA;"\""codigo\"": \""05022\"",\n \""descripcion\"": \""BUJE PORTACATALINA";;;;4203
PORTA;"{\n \""codigo\"": \""02451\"",\n \""descripcion\"": \""TUERCA";;;;4203
CATALINA;"\""codigo\"": \""02451\"",\n \""descripcion\"": \""TUERCA PORTA";;;;4203
BUJES;"{\n \""codigo\"": \""02576\"",\n \""descripcion\"": \""SET";;;;4203
X4PCS;"\""descripcion\"": \""SET BUJES PORTACATALINA ENCAUCHETADOS";;;;4203
PFI;"{\n \""codigo\"": \""05130\"",\n \""descripcion\"": \""BALINERA";;;;4215
6004;"\""codigo\"": \""05130\"",\n \""descripcion\"": \""BALINERA PFI";;;;4239
PFI;"{\n \""codigo\"": \""05131\"",\n \""descripcion\"": \""BALINERA";;;;4239
6200;"\""codigo\"": \""05131\"",\n \""descripcion\"": \""BALINERA PFI";;;;4239
PFI;"{\n \""codigo\"": \""05132\"",\n \""descripcion\"": \""BALINERA";;;;4239
6201;"\""codigo\"": \""05132\"",\n \""descripcion\"": \""BALINERA PFI";;;;4239
PFI;"{\n \""codigo\"": \""05133\"",\n \""descripcion\"": \""BALINERA";;;;4239
6202;"\""codigo\"": \""05133\"",\n \""descripcion\"": \""BALINERA PFI";;;;4239
PFI;"{\n \""codigo\"": \""05134\"",\n \""descripcion\"": \""BALINERA";;;;4239
6203;"\""codigo\"": \""05134\"",\n \""descripcion\"": \""BALINERA PFI";;;;4239
PFI;"{\n \""codigo\"": \""05135\"",\n \""descripcion\"": \""BALINERA";;;;4239
6300;"\""codigo\"": \""05135\"",\n \""descripcion\"": \""BALINERA PFI";;;;4239
PFI;"{\n \""codigo\"": \""05136\"",\n \""descripcion\"": \""BALINERA";;;;4239
6301;"\""codigo\"": \""05136\"",\n \""descripcion\"": \""BALINERA PFI";;;;4239
PFI;"{\n \""codigo\"": \""05137\"",\n \""descripcion\"": \""BALINERA";;;;4239
6302;"\""codigo\"": \""05137\"",\n \""descripcion\"": \""BALINERA PFI";;;;4239
6002;"{\n \""codigo\"": \""05456\"",\n \""descripcion\"": \""BALINERA";;;;4243
2RS;"\""codigo\"": \""05456\"",\n \""descripcion\"": \""BALINERA 6002";;;;4243
6004;"{\n \""codigo\"": \""05457\"",\n \""descripcion\"": \""BALINERA";;;;4243
2RS;"\""codigo\"": \""05457\"",\n \""descripcion\"": \""BALINERA 6004";;;;4243
6202;"{\n \""codigo\"": \""05458\"",\n \""descripcion\"": \""BALINERA";;;;4243
2RS;"\""codigo\"": \""05458\"",\n \""descripcion\"": \""BALINERA 6202";;;;4243
6203;"{\n \""codigo\"": \""05459\"",\n \""descripcion\"": \""BALINERA";;;;4243
2RS;"\""codigo\"": \""05459\"",\n \""descripcion\"": \""BALINERA 6203";;;;4243
6301;"{\n \""codigo\"": \""05460\"",\n \""descripcion\"": \""BALINERA";;;;4243
2RS;"\""codigo\"": \""05460\"",\n \""descripcion\"": \""BALINERA 6301";;;;4243
6302;"{\n \""codigo\"": \""05461\"",\n \""descripcion\"": \""BALINERA";;;;4243
2RS;"\""codigo\"": \""05461\"",\n \""descripcion\"": \""BALINERA 6302";;;;4243
6300;"{\n \""codigo\"": \""04063\"",\n \""descripcion\"": \""BALINERA";;;;4247
6301;"{\n \""codigo\"": \""04064\"",\n \""descripcion\"": \""BALINERA";;;;4247
6203;"{\n \""codigo\"": \""04065\"",\n \""descripcion\"": \""BALINERA";;;;4247
6004;"{\n \""codigo\"": \""04066\"",\n \""descripcion\"": \""BALINERA";;;;4247
6201;"{\n \""codigo\"": \""04067\"",\n \""descripcion\"": \""BALINERA";;;;4247
6202;"{\n \""codigo\"": \""04068\"",\n \""descripcion\"": \""BALINERA";;;;4247
6302;"{\n \""codigo\"": \""04069\"",\n \""descripcion\"": \""BALINERA";;;;4247
PFI;"""```json\n{\n \""codigo\"": \""05132\"",\n \""descripcion\"": \""BALINERA";;;;4235
PFI;"""```json\n{\n \""codigo\"": \""05130\"",\n \""descripcion\"": \""BALINERA";;;;4239
KOYO;"{\n \""codigo\"": \""04413\"",\n \""descripcion\"": \""BALINERA";;;;4279
6200;"\""codigo\"": \""04413\"",\n \""descripcion\"": \""BALINERA KOYO";;;;4279
KOYO;"{\n \""codigo\"": \""05256\"",\n \""descripcion\"": \""BALINERA";;;;4279
6201;"\""codigo\"": \""05256\"",\n \""descripcion\"": \""BALINERA KOYO";;;;4279
KOYO;"{\n \""codigo\"": \""05257\"",\n \""descripcion\"": \""BALINERA";;;;4279
6203;"\""codigo\"": \""05257\"",\n \""descripcion\"": \""BALINERA KOYO";;;;4279
KOYO;"{\n \""codigo\"": \""05258\"",\n \""descripcion\"": \""BALINERA";;;;4279
6204;"\""codigo\"": \""05258\"",\n \""descripcion\"": \""BALINERA KOYO";;;;4279
KOYO;"{\n \""codigo\"": \""03094\"",\n \""descripcion\"": \""BALINERA";;;;4279
6300;"\""codigo\"": \""03094\"",\n \""descripcion\"": \""BALINERA KOYO";;;;4279
KOYO;"{\n \""codigo\"": \""05259\"",\n \""descripcion\"": \""BALINERA";;;;4279
6301;"\""codigo\"": \""05259\"",\n \""descripcion\"": \""BALINERA KOYO";;;;4279
KOYO;"{\n \""codigo\"": \""05260\"",\n \""descripcion\"": \""BALINERA";;;;4275
6302;"\""codigo\"": \""05260\"",\n \""descripcion\"": \""BALINERA KOYO";;;;4275
KOYO;"""```json\n{\n \""codigo\"": \""05257\"",\n \""descripcion\"": \""BALINERA";;;;4271
CAMPANA;"{\n \""codigo\"": \""03113\"",\n \""descripcion\"": \""CAUCHO";;;;4307
TIPO;"\""03113\"",\n \""descripcion\"": \""CAUCHO CAMPANA AX4/CV-110/WAVE/BIZ";;;;4291
CAMPANA;"{\n \""codigo\"": \""03114\"",\n \""descripcion\"": \""CAUCHO";;;;4307
TIPO;"\""03114\"",\n \""descripcion\"": \""CAUCHO CAMPANA AX4/CV-110/WAVE/BIZ";;;;4291
CAMPANA;"{\n \""codigo\"": \""04089\"",\n \""descripcion\"": \""CAUCHO";;;;4307
HERO;"\""codigo\"": \""04089\"",\n \""descripcion\"": \""CAUCHO CAMPANA";;;;4307
IGNITOR;"\""04089\"",\n \""descripcion\"": \""CAUCHO CAMPANA HERO";;;;4307
HONDA;"\""descripcion\"": \""CAUCHO CAMPANA HERO IGNITOR";;;;4307
THRILLER;"\""CAUCHO CAMPANA HERO IGNITOR HONDA";;;;4307
150;CAMPANA HERO IGNITOR HONDA THRILLER;;;;4307
HERO;HERO IGNITOR HONDA THRILLER 150;;;;4307
HUNK;IGNITOR HONDA THRILLER 150 HERO;;;;4307
TIPO;HONDA THRILLER 150 HERO HUNK;;;;4307
TIPO;"\""03113\"",\n \""descripcion\"": \""CAUCHO CAMPANA AX4/CB-110/WAVE/BIZ";;;;4307
TIPO;"\""03114\"",\n \""descripcion\"": \""CAUCHO CAMPANA AX4/CB-110/WAVE/BIZ";;;;4307
MACHO;"{\n \""codigo\"": \""01282\"",\n \""descripcion\"": \""TERMINAL";;;;4367
HEMBRA;"{\n \""codigo\"": \""00544\"",\n \""descripcion\"": \""TERMINAL";;;;4367
OJO;"{\n \""codigo\"": \""01284\"",\n \""descripcion\"": \""TERMINAL";;;;4367
8MM;"\""codigo\"": \""01284\"",\n \""descripcion\"": \""TERMINAL OJO";;;;4367
OJO;"{\n \""codigo\"": \""01371\"",\n \""descripcion\"": \""TERMINAL";;;;4367
6MM;"\""codigo\"": \""01371\"",\n \""descripcion\"": \""TERMINAL OJO";;;;4367
MACHO;"{\n \""codigo\"": \""01232\"",\n \""descripcion\"": \""TERMINAL";;;;4367
PLANO;"\""codigo\"": \""01232\"",\n \""descripcion\"": \""TERMINAL MACHO";;;;4367
HEMBRA;"{\n \""codigo\"": \""01372\"",\n \""descripcion\"": \""TERMINAL";;;;4367
PLANO;"\""codigo\"": \""01372\"",\n \""descripcion\"": \""TERMINAL HEMBRA";;;;4367
HEMBRA;"{\n \""codigo\"": \""00527\"",\n \""descripcion\"": \""TERMINAL";;;;4367
MACHO;"{\n \""codigo\"": \""00530\"",\n \""descripcion\"": \""TERMINAL";;;;4367
PLANO;"{\n \""codigo\"": \""05398\"",\n \""descripcion\"": \""TERMINAL";;;;4367
HEMBRA;"\""codigo\"": \""05398\"",\n \""descripcion\"": \""TERMINAL PLANO";;;;4367
EMPALME;"\""descripcion\"": \""TERMINAL PLANO HEMBRA DE";;;;4367
RAPIDO;"\""TERMINAL PLANO HEMBRA DE EMPALME";;;;4367
MACHO;"{\n \""codigo\"": \""00528\"",\n \""descripcion\"": \""TERMINAL";;;;4367
PLANO;"\""codigo\"": \""00528\"",\n \""descripcion\"": \""TERMINAL MACHO";;;;4367
HEMBRA;"{\n \""codigo\"": \""00577\"",\n \""descripcion\"": \""TERMINAL";;;;4367
PLANO;"\""codigo\"": \""00577\"",\n \""descripcion\"": \""TERMINAL HEMBRA";;;;4379
CON;"\""00577\"",\n \""descripcion\"": \""TERMINAL HEMBRA PLANO";;;;4379
133;"""raw"": ""```json\n{\n  \""codigo\"": \""\"",\n  \""descripcion\"": \""\"",\n  \""precio\"": \""";;;;4335
X100;"\"",\n  \""empaque\"": \""";;;;4335
PCS;"\"",\n  \""fotos\"": [\""imagen1\""],\n  \""variantes\"": []\n}\n```""";;;;4335
PLANO;"""```json\n{\n \""codigo\"": \""\"",\n \""descripcion\"": \""TERMINAL";;;;4339
HEMBRA;"\""codigo\"": \""\"",\n \""descripcion\"": \""TERMINAL PLANO";;;;4339
X100;"""raw"": ""```json\n{\n  \""codigo\"": \""\"",\n  \""descripcion\"": \""\"",\n  \""precio\"": \""\"",\n  \""empaque\"": \""";;;;4407
PCS;"\"",\n  \""fotos\"": [],\n  \""variantes\"": []\n}\n```""";;;;4407
HEMBRA;"""```json\n{\n \""codigo\"": \""\"",\n \""descripcion\"": \""TERMINAL";;;;4359
TERMINAL;"\""\"",\n \""descripcion\"": \""TERMINAL HEMBRA PLANO,";;;;4359
MACHO;"\""descripcion\"": \""TERMINAL HEMBRA PLANO, TERMINAL";;;;4359
CON;"\""codigo\"": \""00577\"",\n \""descripcion\"": \""TERMINAL HEMBRA";;;;4367
HEMBRA;"""```json\n{\n \""codigo\"": \""00577\"",\n \""descripcion\"": \""TERMINAL";;;;4379
PCS;"\"",\n  \""fotos\"": [\""imagen_recortada\""],\n  \""variantes\"": []\n}\n```""";;;;4387
MACHO;"""```json\n{\n \""codigo\"": \""\"",\n \""descripcion\"": \""TERMINAL";;;;4391
PLANO;"\""codigo\"": \""\"",\n \""descripcion\"": \""TERMINAL MACHO";;;;4391
OJO;"{\n \""codigo\"": \""03401\"",\n \""descripcion\"": \""TERMINAL";;;;4423
6MM;"\""codigo\"": \""03401\"",\n \""descripcion\"": \""TERMINAL OJO";;;;4423
OJO;"{\n \""codigo\"": \""03402\"",\n \""descripcion\"": \""TERMINAL";;;;4423
8MM;"\""codigo\"": \""03402\"",\n \""descripcion\"": \""TERMINAL OJO";;;;4423
OJO;"{\n \""codigo\"": \""03403\"",\n \""descripcion\"": \""TERMINAL";;;;4423
5MM;"\""codigo\"": \""03403\"",\n \""descripcion\"": \""TERMINAL OJO";;;;4423
OJO;"{\n \""codigo\"": \""03099\"",\n \""descripcion\"": \""TERMINAL";;;;4423
6MM;"\""codigo\"": \""03099\"",\n \""descripcion\"": \""TERMINAL OJO";;;;4423
COBRE;"\""03099\"",\n \""descripcion\"": \""TERMINAL OJO 6MM";;;;4423
CABLE;"\""descripcion\"": \""TERMINAL OJO 6MM COBRE";;;;4423
GRUESO;"\""TERMINAL OJO 6MM COBRE CABLE";;;;4411
OJO;"{\n \""codigo\"": \""05233\"",\n \""descripcion\"": \""TERMINAL";;;;4423
COBRE;"\""05233\"",\n \""descripcion\"": \""TERMINAL OJO 7-8MM";;;;4423
CABLE;"\""descripcion\"": \""TERMINAL OJO 7-8MM COBRE";;;;4423
GRUESO;"\""TERMINAL OJO 7-8MM COBRE CABLE";;;;4411
PARA;"{\n \""codigo\"": \""03404\"",\n \""descripcion\"": \""TERMINAL";;;;4423
PORTA;"\""codigo\"": \""03404\"",\n \""descripcion\"": \""TERMINAL PARA";;;;4423
FUSIBLE;"\""03404\"",\n \""descripcion\"": \""TERMINAL PARA PORTA";;;;4411
BORNE;"{\n \""codigo\"": \""03248\"",\n \""descripcion\"": \""TERMINAL";;;;4423
PARA;"\""codigo\"": \""03248\"",\n \""descripcion\"": \""TERMINAL BORNE";;;;4423
PARA;"{\n \""codigo\"": \""03405\"",\n \""descripcion\"": \""PROTECTOR";;;;4423
TERMINAL;"\""codigo\"": \""03405\"",\n \""descripcion\"": \""PROTECTOR PARA";;;;4423
DOBLE;"\""03405\"",\n \""descripcion\"": \""PROTECTOR PARA TERMINAL";;;;4423
PARA;"{\n \""codigo\"": \""03406\"",\n \""descripcion\"": \""PROTECTOR";;;;4423
TERMINAL;"\""codigo\"": \""03406\"",\n \""descripcion\"": \""PROTECTOR PARA";;;;4423
HEMBRA;"\""03406\"",\n \""descripcion\"": \""PROTECTOR PARA TERMINAL";;;;4423
MACHO;"\""PROTECTOR PARA TERMINAL HEMBRA Y";;;;4423
PARA;"{\n \""codigo\"": \""03407\"",\n \""descripcion\"": \""PROTECTOR";;;;4423
TERMINAL;"\""codigo\"": \""03407\"",\n \""descripcion\"": \""PROTECTOR PARA";;;;4423
HEMBRA;"\""03407\"",\n \""descripcion\"": \""PROTECTOR PARA TERMINAL";;;;4423
PASTA;"\""codigo\"": \""00229\"",\n \""descripcion\"": \""PACHA EN";;;;4423
HEMBRA;"\""00229\"",\n \""descripcion\"": \""PACHA EN PASTA";;;;4423
CAJA;"{\n \""codigo\"": \""02157\"",\n \""descripcion\"": \""FUSIBLE";;;;4463
X100;"\""codigo\"": \""02157\"",\n \""descripcion\"": \""FUSIBLE CAJA";;;;4463
PCS;"\""02157\"",\n \""descripcion\"": \""FUSIBLE CAJA X100";;;;4463
5AMP;"\""descripcion\"": \""FUSIBLE CAJA X100 PCS";;;;4463
2157;"\""FUSIBLE CAJA X100 PCS 5AMP";;;;4463
10AMP;CAJA X100 PCS 5AMP 02157;;;;4463
2012;X100 PCS 5AMP 02157 10AMP;;;;4463
30AMP;PCS 5AMP 02157 10AMP 02012;;;;4463
2156;5AMP 02157 10AMP 02012 30AMP;;;;4463
20AMP;02157 10AMP 02012 30AMP 02156;;;;4463
2014;10AMP 02012 30AMP 02156 20AMP;;;;4463
AMP;30AMP 02156 20AMP 02014 25;;;;4463
2015;02156 20AMP 02014 25 AMP;;;;4463
AMP;02014 25 AMP 02015 15;;;;4463
AMP;"\""30AMP 02156\"", \""20AMP 02014\"", \""25";;;;4463
AMP;"02014\"", \""25 AMP 02015\"", \""15";;;;4463
2216;"{\n \""codigo\"": \""02216\"",\n \""descripcion\"": \""40AMP";;;;4463
CALIDAD;"\""codigo\"": \""02216\"",\n \""descripcion\"": \""40AMP 02216";;;;4463
AAA;"\""02216\"",\n \""descripcion\"": \""40AMP 02216 CALIDAD";;;;4435
X100;"X100PCS\"",\n \""precio\"": \""9698\"",\n \""empaque\"": \""CAJA";;;;4435
FUSIBLE;"{\n \""codigo\"": \""02028\"",\n \""descripcion\"": \""PORTA";;;;4467
CUADRADO;"\""codigo\"": \""02028\"",\n \""descripcion\"": \""PORTA FUSIBLE";;;;4467
ROJO;"\""descripcion\"": \""PORTA FUSIBLE CUADRADO ENCAUCHETADO";;;;4467
CON;"\""PORTA FUSIBLE CUADRADO ENCAUCHETADO ROJO";rojo;;;4467
FUSIBLE;FUSIBLE CUADRADO ENCAUCHETADO ROJO CON;rojo;;;4467
FUSIBLE;"{\n \""codigo\"": \""05055\"",\n \""descripcion\"": \""PORTA";;;;4467
CUADRADO;"\""codigo\"": \""05055\"",\n \""descripcion\"": \""PORTA FUSIBLE";;;;4467
PASTA;"\""descripcion\"": \""PORTA FUSIBLE CUADRADO EN";;;;4467
CON;"\""PORTA FUSIBLE CUADRADO EN PASTA";;;;4467
FUSIBLE;FUSIBLE CUADRADO EN PASTA CON;;;;4467
FUSIBLE;"{\n \""codigo\"": \""02878\"",\n \""descripcion\"": \""PORTA";;;;4467
DOBLE;"\""codigo\"": \""02878\"",\n \""descripcion\"": \""PORTA FUSIBLE";;;;4467
CON;"\""02878\"",\n \""descripcion\"": \""PORTA FUSIBLE DOBLE";;;;4467
TERMINAL;"\""descripcion\"": \""PORTA FUSIBLE DOBLE CON";;;;4467
PARA;"{\n \""codigo\"": \""04715\"",\n \""descripcion\"": \""CABLE";;;;4467
BATERIA;"\""codigo\"": \""04715\"",\n \""descripcion\"": \""CABLE PARA";;;;4467
TERMINAL;"\""CABLE PARA BATERIA C/PORTAFUSIBLE Y";;;;4467
OJO;BATERIA C/PORTAFUSIBLE Y TERMINAL DE;;;;4467
POSITIVO;C/PORTAFUSIBLE Y TERMINAL DE OJO;;;;4467
AMP;"\""30AMP 02156\"",\n \""20AMP 02014\"",\n \""25";;;;4459
AMP;"02014\"",\n \""25 AMP 02015\"",\n \""15";;;;4459
TIEMPO;"{\n \""codigo\"": \""01602\"",\n \""descripcion\"": \""TAPON";;;;4523
INFERIOR;"\""codigo\"": \""01602\"",\n \""descripcion\"": \""TAPON TIEMPO";;;;4523
VISOR;"\""01602\"",\n \""descripcion\"": \""TAPON TIEMPO INFERIOR";;;;4523
VOLANTE;"\""descripcion\"": \""TAPON TIEMPO INFERIOR VISOR";;;;4523
TIEMPO;"{\n \""codigo\"": \""01603\"",\n \""descripcion\"": \""TAPON";;;;4523
SUPERIOR;"\""codigo\"": \""01603\"",\n \""descripcion\"": \""TAPON TIEMPO";;;;4523
VISOR;"\""01603\"",\n \""descripcion\"": \""TAPON TIEMPO SUPERIOR";;;;4523
VOLANTE;"\""descripcion\"": \""TAPON TIEMPO SUPERIOR VISOR";;;;4523
CUADRADO;"{\n \""codigo\"": \""03167\"",\n \""descripcion\"": \""FUSIBLE";;;;4539
X200;"MINI\"",\n \""precio\"": \""23299\"",\n \""empaque\"": \""CAJA";;;;4539
VIDRIO;"{\n \""codigo\"": \""02444\"",\n \""descripcion\"": \""FUSIBLE";;;;4539
PCS;"\""02444\"",\n \""descripcion\"": \""FUSIBLE VIDRIO x100";;;;4539
CALIDAD;"\""descripcion\"": \""FUSIBLE VIDRIO x100 PCS";;;;4539
AMP;"\""fotos\"": [\""f2.jpg\""],\n \""variantes\"": [\n \""10";;;;4539
AMP;"[\n \""10 AMP 05249\"",\n \""15";;;;4539
AMP;"05249\"",\n \""15 AMP 05250\"",\n \""20";;;;4539
AMP;"05250\"",\n \""20 AMP 05251\"",\n \""25";;;;4539
AMP;"05251\"",\n \""25 AMP 05252\"",\n \""30";;;;4539
AMP;"\""fotos\"": [\""f3.jpg\""],\n \""variantes\"": [\n \""10";;;;4539
AMP;"[\n \""10 AMP 02444\"",\n \""15";;;;4539
AMP;"02444\"",\n \""15 AMP 02445\"",\n \""20";;;;4539
AMP;"02445\"",\n \""20 AMP 02446\"",\n \""25";;;;4539
AMP;"02446\"",\n \""25 AMP 02447\"",\n \""30";;;;4539
CRANK;"{\n \""codigo\"": \""02031\"",\n \""descripcion\"": \""RETEN";;;;4555
CAMBIOS;"{\n \""codigo\"": \""02032\"",\n \""descripcion\"": \""RETEN";;;;4555
CAMBIO;"{\n \""codigo\"": \""02033\"",\n \""descripcion\"": \""RETEN";;;;4555
CAMBIOS;"{\n \""codigo\"": \""02035\"",\n \""descripcion\"": \""RETEN";;;;4555
SALIDA;"{\n \""codigo\"": \""02036\"",\n \""descripcion\"": \""RETEN";;;;4555
CRANK;"{\n \""codigo\"": \""02037\"",\n \""descripcion\"": \""RETEN";;;;4555
CRANK;"{\n \""codigo\"": \""02039\"",\n \""descripcion\"": \""RETEN";;;;4555
CAMBIOS;"{\n \""codigo\"": \""02043\"",\n \""descripcion\"": \""RETEN";;;;4555
CRANK;"{\n \""codigo\"": \""02044\"",\n \""descripcion\"": \""RETEN";;;;4543
SALIDA;"{\n \""codigo\"": \""02045\"",\n \""descripcion\"": \""RETEN";;;;4555
CLUTCH;"{\n \""codigo\"": \""02046\"",\n \""descripcion\"": \""RETEN";;;;4555
DER;"\""codigo\"": \""02051\"",\n \""descripcion\"": \""RETEN CIG.";;;;4543
CRANK;"{\n \""codigo\"": \""02054\"",\n \""descripcion\"": \""RETEN";;;;4555
SALIDA;"{\n \""codigo\"": \""02056\"",\n \""descripcion\"": \""RETEN";;;;4543
BOXER;"\""codigo\"": \""02057\"",\n \""descripcion\"": \""RETEN CIG.";;;;4543
CAMBIOS;"{\n \""codigo\"": \""02059\"",\n \""descripcion\"": \""RETEN";;;;4543
VOLANTE;"{\n \""codigo\"": \""02600\"",\n \""descripcion\"": \""RETEN";;;;4543
CAMBIOS;"{\n \""codigo\"": \""02056\"",\n \""descripcion\"": \""RETEN";;;;4555
VOLANTE;"{\n \""codigo\"": \""02059\"",\n \""descripcion\"": \""RETEN";;;;4555
